from,to,relation,time,   
MP,SPD,1,3,
MP,SPD,5,3,
MP,DRF,4,2,
MP,BSPD,2,0,
RP,DB,2,2,
RP,CDU,1,3,
RP,AM,12,NA,
RP,BKA,2,2,
BP,HFTUW,3,1,
BP,TAE,3,1,
ST,CDU,1,3,
ST,MIBRAG,4,0,
GH,DRK,5,1,
GH,CDU,1,3,
SKAM,BDA,2,1,
SKAM,CDU,1,3,
SKAM,FM,6,2,
SKAPF,BDEW,2,1,
SKAPF,FDP,1,3,
DK,BDI,5,1,
DK,DATEV,10,3,
DK,HRHA,4,2,
DK,CSU,10,NA,
DK,ADAG,10,NA,
DK,GVB,10,NA,
CN,TEKOM,2,2,
CN,MCK,2,3,
KR,VKU,2,1,
KR,CDU,1,3,
GR,SED,2,2,
GR,ENBW,7,2,
GR,GRÜNE,4,3,
ES,DIHT,5,2,
ES,EA,2,3,
ES,FDP,1,NA,
AG,IBFB,10,NA,
AG,KWSB,6,1,
HW,CDU,7,NA,
HW,GZW,7,NA,
HW,NWBG,6,NA,
CH,ST,2,3,
MK,CDU,1,3,
MK,REK,7,2,
RPRIG,GRÜNE,1,3,
RPRIG,LEE,2,1,
MV,IGBCE,4,3,
MV,SPD,1,3,
AS,VERDI,2,2,
AS,SPD,1,3,
AS,EON,7,2,
SK,DGB,2,2,
SK,SPD,1,3,
MKAI,GP,2,1,
HWEIG,BUND,4,3,
HWEIG,RNE,7,2,
HWEIG,DN,5,1,
KN,DDA,5,2,
KN,ND,9,2,
KN,DU,9,3,
KN,NBGE,10,1,
JA,WZB,5,3,
JA,BHU,3,2,
JA,DGS,4,1,
FM,ÖI,8,3,
HJS,PIK,3,3,
HJS,SRC,6,NA,
HJS,WBGU,2,3,
HJS,WIPCC,10,3,
AN,UK,3,3,
RW,FI,2,1,
RW,MLU,3,NA,
AL,CDU,1,3,
AL,BT,11,3,
AL,PKM,4,NA,
ALENZ,CSU,1,3,
ALENZ,BT,11,2,
ALENZ,AWE,7,NA,
MM,SPD,1,3,
MM,BT,11,3,
